runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	0	1692	56.824	33.208	4000	0	7
2	0	1702	43.084	23.7556	4500	0	8
3	0	1774	58.94	32.0339	4000	1	7
4	0	1576	31.408	23.4154	4500	0	8
5	0	1620	26.676	16.9365	4500	0	8
6	0	1822	31.768	21.4514	4500	0	8
7	0	262144	551.588	11722.2	4500	0	8
8	0	1576	31.408	23.4154	4500	0	8
9	0	1650	41.424	24.0084	4500	1	8
10	0	1882	41.376	23.8077	4500	0	8
11	0	1702	43.084	23.7556	4500	0	8
12	0	1568	41.272	23.5944	4500	0	8
13	0	1626	25.268	16.6963	5000	0	9
14	0	1882	41.376	23.8077	4500	0	8
15	0	1882	41.376	23.8077	4500	1	8
16	0	1622	87.516	43.7929	3500	0	6
17	0	1842	25.868	17.9259	5000	0	9
18	0	1856	29.5	20.4623	4500	0	8
19	0	1630	27.316	17.4523	4500	0	8
20	0	1842	25.868	17.9259	5000	0	9
21	0	1930	30.28	21.8558	4500	1	8
22	0	262144	562.144	11721.8	4500	0	8
23	0	1836	40.092	24.4923	4500	0	8
24	0	1626	33.992	21.4085	4500	0	8
25	0	1590	34.488	20.1514	4500	0	8
26	0	1546	37.768	21.5539	4500	0	8
27	0	262144	562.144	11721.8	4500	1	8
28	0	1528	40.644	25.5064	4500	0	8
29	0	1700	30.164	18.8672	4500	0	8
30	0	1936	30.036	20.1841	4500	0	8
31	0	2008	36.684	22.1683	4500	0	8
32	0	1650	41.424	24.0084	4500	0	8
33	0	1700	30.164	18.8672	4500	0	8
34	0	1796	27.952	19.8503	4500	1	8
35	0	1696	37.988	23.9918	4500	0	8
36	0	1770	32.336	21.1436	4500	0	8
37	0	1624	39.556	22.1245	4500	0	8
38	0	1844	69.62	33.2758	4000	0	7
39	0	1628	30.216	19.5484	4500	0	8
40	0	1636	40.632	21.2597	4500	1	8
41	0	1704	41.356	23.2669	4500	0	8
42	0	1840	30.948	22.1278	4500	0	8
43	0	1704	41.356	23.2669	4500	0	8
44	0	1840	30.948	22.1278	4500	0	8
45	0	1704	41.356	23.2669	4500	0	8
46	0	1704	41.356	23.2669	4500	1	8
47	0	262144	547.456	11722.4	4500	0	8
48	0	1694	56.16	32.8031	4000	0	7
49	0	1582	52.824	31.4847	4000	0	7
50	0	1588	31.492	21.3156	4500	0	8
