runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-89	6.87195e+10	118.518	483.746	279500	7294	558
2	-65	6.87195e+10	11.352	160.303	237500	7179	474
3	-81	6.87195e+10	84.316	396.635	284500	7062	568
4	-76	6.87195e+10	62.996	304.983	260000	7341	519
5	-116	6.87195e+10	281.812	874.49	388000	7276	775
6	-97	6.87195e+10	211.784	632.262	350500	7417	700
7	-76	6.87195e+10	93.594	338.369	290500	7260	580
8	-79	6.87195e+10	98.55	332.406	333000	7583	665
9	-102	6.87195e+10	121.138	509.004	293000	7637	585
10	-66	6.87195e+10	59.28	297.433	291500	7471	582
11	-95	6.87195e+10	148.27	473.622	328000	7264	655
12	-91	6.87195e+10	69.11	370.876	296000	7775	591
13	-106	6.87195e+10	182.664	578.589	347500	8204	694
14	-86	1.18566e+06	84.382	425.908	282500	7741	564
15	-85	6.87195e+10	71.406	323.425	304000	7432	607
16	-71	1.20486e+06	80.052	275.445	347000	7487	693
17	-85	1.19783e+06	138.09	484.56	347000	7390	693
18	-81	6.87195e+10	125.398	413.181	345000	7546	689
19	-80	6.87195e+10	92.574	379.031	278000	7236	555
20	-82	1.19901e+06	92.382	352.573	293000	8303	585
21	-87	6.87195e+10	138.798	425.977	344500	9288	688
22	-94	6.87195e+10	102.858	453.179	272000	9285	543
23	-74	6.87195e+10	63.024	336.604	295500	9305	590
24	-82	6.87195e+10	62.458	351.936	272500	9280	544
25	-68	1.20978e+06	69.364	310.634	294000	9797	587
26	-80	6.87195e+10	67.892	294.678	298000	10504	595
27	-65	6.87195e+10	39.462	245.364	275000	9761	549
28	-87	6.87195e+10	104.04	423.91	332500	9705	664
29	-86	6.87195e+10	167.036	482.549	365000	10054	729
30	-103	6.87195e+10	137.016	539.528	315500	9925	630
31	-94	6.87195e+10	146.572	505.089	342000	9899	683
32	-89	6.87195e+10	112.114	445.023	302500	11916	604
33	-100	6.87195e+10	219.686	674.811	372000	12306	743
34	-76	6.87195e+10	35.59	249.658	275000	10475	549
35	-76	6.87195e+10	59.104	309.012	273000	10431	545
36	-109	6.87195e+10	244.828	771.384	374000	10374	747
37	-97	6.87195e+10	193.792	694.83	324500	10418	648
38	-80	6.87195e+10	83.142	380.681	297000	10209	593
39	-101	6.87195e+10	162.81	631.998	306000	10083	611
40	-79	6.87195e+10	95.492	372.081	293500	9884	586
41	-96	6.87195e+10	150.68	497.871	361000	9931	721
42	-99	6.87195e+10	89.72	407.18	303000	9366	605
43	-70	6.87195e+10	103.596	318.42	381500	9576	762
44	-77	6.87195e+10	54.404	290.654	316000	9223	631
45	-105	6.87195e+10	124.28	525.715	312500	9507	624
46	-80	6.87195e+10	64.786	310.343	262000	9427	523
47	-92	6.87195e+10	172.91	520.634	368000	10111	735
48	-94	6.87195e+10	147.424	550.497	277000	9562	553
49	-88	6.87195e+10	88.72	390.905	278000	9798	555
50	-108	6.87195e+10	174.47	590.043	374500	10149	748
