runId	fit_min	fit_max	fit_avg	fit_std	#evals	time	gen
1	-86	6.87195e+10	26507.5	186203	259500	10453	518
2	-81	6.87195e+10	1.37464e+08	3.07323e+09	418000	16479	835
3	-68	6.87195e+10	43103.3	297579	159000	6025	317
4	-123	6.87195e+10	48583.4	285616	377000	14229	753
5	-80	6.87195e+10	29038.2	227704	399500	16204	798
6	-82	6.87195e+10	1.37476e+08	3.07323e+09	245500	9351	490
7	-80	6.87195e+10	33620.1	242090	328000	13743	655
8	-54	6.87195e+10	5.49788e+08	6.12795e+09	243000	10465	485
9	-79	6.87195e+10	1.37465e+08	3.07323e+09	230500	10135	460
10	-82	6.87195e+10	2.74927e+08	4.34184e+09	305000	11219	609
11	-76	6.87195e+10	2.74944e+08	4.34184e+09	443500	18095	886
12	-72	6.87195e+10	4.12363e+08	5.31231e+09	146000	5810	291
13	-61	6.87195e+10	32400	212452	202500	9069	404
14	-102	6.87195e+10	67402.9	382891	177000	9798	353
15	-128	6.87195e+10	41655.6	259711	308500	16718	616
16	-98	6.87195e+10	1.3749e+08	3.07323e+09	362000	20950	723
17	-94	6.87195e+10	5.49789e+08	6.12795e+09	173500	11453	346
18	-80	6.87195e+10	2.74922e+08	4.34184e+09	137500	7805	274
19	-73	6.87195e+10	1.37461e+08	3.07323e+09	208000	12547	415
20	-91	6.87195e+10	2.74898e+08	4.34184e+09	371500	18134	742
21	-55	6.87195e+10	1.37465e+08	3.07323e+09	268000	17012	535
22	-37	6.87195e+10	2.74929e+08	4.34184e+09	171500	13593	342
23	-80	6.87195e+10	8.24659e+08	7.49003e+09	116000	6954	231
24	-92	6.87195e+10	25592.2	166671	208500	12151	416
25	-58	6.87195e+10	1.37492e+08	3.07323e+09	462000	28409	923
26	-67	6.87195e+10	2.74944e+08	4.34184e+09	237500	14306	474
27	-56	6.87195e+10	9.62109e+08	8.08196e+09	127000	7672	253
28	-82	6.87195e+10	32915.9	201503	272000	13676	543
29	-78	6.87195e+10	2.74918e+08	4.34184e+09	151000	8744	301
30	-96	6.87195e+10	6.87232e+08	6.84435e+09	222000	12277	443
31	-64	6.87195e+10	1.37466e+08	3.07323e+09	141000	8024	281
32	-81	6.87195e+10	4.12362e+08	5.31231e+09	307000	16048	613
33	-64	6.87195e+10	5.49792e+08	6.12795e+09	108500	6023	216
34	-80	6.87195e+10	1.37496e+08	3.07323e+09	200500	11387	400
35	-52	6.87195e+10	1.37469e+08	3.07323e+09	124000	6198	247
36	-82	6.87195e+10	8.24692e+08	7.49003e+09	134500	7489	268
37	-81	6.87195e+10	29308.7	200043	402500	20516	804
38	-76	6.87195e+10	1.37479e+08	3.07323e+09	253000	12175	505
39	-56	6.87195e+10	35790.5	222783	154500	8677	308
40	-70	6.87195e+10	1.37498e+08	3.07323e+09	224000	11733	447
41	-84	6.87195e+10	57236.6	323132	308000	18358	615
42	-77	6.87195e+10	2.7492e+08	4.34184e+09	276500	14187	552
43	-79	6.87195e+10	9.62111e+08	8.08196e+09	342000	16781	683
44	-48	6.87195e+10	6.87239e+08	6.84434e+09	156000	7694	311
45	-32	6.87195e+10	8.24688e+08	7.49003e+09	109000	5151	217
46	-104	6.87195e+10	6.87215e+08	6.84435e+09	290500	11475	580
47	-84	6.87195e+10	8.24654e+08	7.49003e+09	164500	6968	328
48	-67	6.87195e+10	2.74912e+08	4.34184e+09	220000	9648	439
49	-83	6.87195e+10	58470.5	343715	381000	17408	761
50	-80	6.87195e+10	1.3749e+08	3.07323e+09	313000	14209	625
